label,t1_n_structural_zero,expected,ll_old,ll_new,verdict,diff
red2_6800:300,12,NEG_INF,-18.682570819537208,-inf,OK,
red2_6800:301,12,NEG_INF,-18.756024478773725,-inf,OK,
red2_6800:302,12,NEG_INF,-18.74367352038515,-inf,OK,
red2_6800:303,12,NEG_INF,-18.736978943539075,-inf,OK,
red2_6800:304,12,NEG_INF,-18.766075645736016,-inf,OK,
red2_6800:305,12,NEG_INF,-18.68323744440385,-inf,OK,
red2_6800:306,12,NEG_INF,-18.7350621363757,-inf,OK,
red2_6800:307,12,NEG_INF,-18.72333959489687,-inf,OK,
red2_6800:308,1,NEG_INF,-18.773836814314016,-inf,OK,
red2_6800:309,12,NEG_INF,-18.68256376098513,-inf,OK,
red2_6800:310,12,NEG_INF,-18.73489240751287,-inf,OK,
red2_6800:311,12,NEG_INF,-18.75448516005042,-inf,OK,
red2_6800:312,12,NEG_INF,-18.69391455827651,-inf,OK,
red2_6800:313,12,NEG_INF,-18.689255257877363,-inf,OK,
red2_6800:314,12,NEG_INF,-18.706570997753477,-inf,OK,
red2_6800:315,12,NEG_INF,-18.68250316714205,-inf,OK,
red2_6800:316,12,NEG_INF,-18.761513780485256,-inf,OK,
red2_6800:317,12,NEG_INF,-18.706645969563287,-inf,OK,
red2_6800:318,12,NEG_INF,-18.68985967324795,-inf,OK,
red2_6800:319,12,NEG_INF,-18.695681347860344,-inf,OK,
red2_6800:320,12,NEG_INF,-18.695403833144145,-inf,OK,
red2_6800:321,12,NEG_INF,-18.748001611533656,-inf,OK,
red2_6800:322,12,NEG_INF,-18.6849968037333,-inf,OK,
red2_6800:323,12,NEG_INF,-18.68600088667307,-inf,OK,
red2_6800:324,12,NEG_INF,-18.714762332958223,-inf,OK,
red2_6800:325,12,NEG_INF,-18.74640447881221,-inf,OK,
red2_6800:326,12,NEG_INF,-18.689061206621073,-inf,OK,
