rxn_id,enzyme_id,group,u_sub_27C,u_opt_37C,u_supra_44.65C
PPPGONo1,P0ACB4,default,3.4914898676336734e-05,0.005976964539342464,0.0008947389824853617
SHCHFNo1,P0AEA8,default,4.131388789311216e-07,3.5880770652407576e-07,4.461015955939008e-07
SUCOASNo1,P0A836,default,0.0007504280335428732,0.0005945531519608473,0.0007627293044468325
PRAISNo1,P08178,default,0.010731045543460745,0.00553423333992083,0.005081146948764356
AACPS7No1,P0A6A8,default,0.0022910159070314655,0.0007015513556780345,0.0008663101602684732
PANTSNo1,P31663,default,2.5339833422979134e-05,1.853052920185747e-05,2.6321587812523734e-05
ECOAH7No1,P77399,default,4.772549414538745e-06,3.343569255155738e-06,3.538836632676022e-06
GCALDDNo1,P25553,default,4.896302393985937e-08,3.8509082496387576e-08,3.7571631330421576e-08
HISTPNo1,P06987,default,4.605311929835361e-06,2.3804493571760248e-06,2.2037550841796346e-06
QMO2No1,P0ADU2,default,0.0003196606405534932,0.0001570577696411065,0.000126408970027271
UPP3MTNo1,P0AEA8,default,4.1313887893112173e-07,3.5880770652407576e-07,4.461015955939008e-07
DHQSNo1,P07639,default,9.558968031898501e-07,7.213621186150705e-07,8.527787236059709e-07
DASYN160No1,P0ABG1,default,0.00043489664380418845,0.0002809128808462949,0.0002905461555134944
DASYN161No1,P0ABG1,default,0.000512588400148686,0.000331096333406043,0.0003424505365717864
FACOAE161No1,P0AGG2,default,6.14439566632992e-05,6.109844709286209e-05,7.997199308741556e-05
ADSL1rNo1,P0AB89,default,0.000355616772182979,0.0003743633533233861,0.000561591518991661
AICARTNo1,P15639,default,0.005853314553555635,0.004451872359369308,0.004639535207559518
MPTGNo1,P0ABG4,default,1.4101690622757073e-05,1.1115913231850396e-05,1.2815101636012085e-05
MCTP1AppNo1,P02918,default,0.0013504330549425532,0.0006698874331879664,0.000588211911767066
5DOANNo1,P0AF12,default,5.531446509801275e-06,0.0009668346682622683,0.0001573938775590363
K2L4AabcppNo1,P60752,default,7.839263798198979e-06,5.4200256319696834e-06,5.804404578166677e-06
FACOAE120No1,P0AGG2,default,3.178806128755682e-05,3.1609311740865376e-05,4.1373550070698455e-05
PSSA161No1,P23830,default,2.1091750813780077e-05,1.513928491628449e-05,1.5638822909305265e-05
PSD160No1,P0A8K1,default,1.1818852652323678e-05,8.044709470179052e-06,7.683931584611521e-06
PSD161No1,P0A8K1,default,1.3930221948034494e-05,9.481850034319227e-06,9.056621277540526e-06
ACONTbNo1,P36683,default,0.029895957014435374,0.03467835308686546,0.034236325091902296
SUCDiNo1,P07014,default,0.00013576335702928153,6.9513713409266e-05,6.661400264866465e-05
FADRx2No1,P17846,default,0.00045424301546855944,0.00036436856330562904,0.0009051125677581468
