rxn_id,enzyme_id,group,u_sub_26.6C,u_opt_36.6C,u_supra_44.6C
PPPGONo1,P0ACB4,default,3.1444695462638134e-05,3.143788255895112e-05,3.18222264210942e-05
SHCHFNo1,P0AEA8,default,5.68617050798456e-07,5.684938524929178e-07,5.754439746094204e-07
SUCOASNo1,P0A836,default,0.0009422682988965818,0.000942064144171318,0.0009535813502323116
PRAISNo1,P08178,default,0.007996522969624756,0.007994790418553681,0.008092530736170242
AACPS7No1,P0A6A8,default,0.0007355071904085735,0.0007379462688016265,0.0007443378287868718
PANTSNo1,P31663,default,2.9507714222398723e-05,2.9501320990956215e-05,2.986198941791315e-05
ECOAH7No1,P77399,default,5.257900935886775e-06,5.256761743023881e-06,5.321028288547923e-06
GCALDDNo1,P25553,default,5.938775113026536e-08,5.9374883998880034e-08,6.010077169783762e-08
HISTPNo1,P06987,default,3.4585415741935778e-06,3.457792236021294e-06,3.5000654781829452e-06
QMO2No1,P0ADU2,default,0.00013884786866082382,0.00012549318195863838,0.0001604264907382654
UPP3MTNo1,P0AEA8,default,5.686170507984562e-07,5.684938524929178e-07,5.754439746094204e-07
DHQSNo1,P07639,default,1.1490396414531832e-06,1.1487906870178132e-06,1.1628352286185062e-06
DASYN160No1,P0ABG1,default,0.0004364926085139707,0.0004363980366933168,0.0004417332212922711
DASYN161No1,P0ABG1,default,0.0005144694746727957,0.0005143580081463493,0.0005206462924480034
FACOAE161No1,P0AGG2,default,9.327759557064476e-05,9.325738576212274e-05,9.439750401752747e-05
ADSL1rNo1,P0AB89,default,0.0005450651706104677,0.0005449470751271059,0.0005516093260954331
