rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,30.0,303.15
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,36.25,309.4
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,42.5,315.65
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,48.75,321.9
ACACT4rNo2,P21151,Octanoyl-CoA (n-C8:0CoA),occoa,MNXM342,55.0,328.15
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,5.0,278.15
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,11.25,284.4
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,17.5,290.65
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,23.75,296.9
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,30.0,303.15
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,36.25,309.4
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,42.5,315.65
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,48.75,321.9
HSDyNo1,P00562,L-Homoserine,hom__L,MNXM353,55.0,328.15
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,5.0,278.15
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,11.25,284.4
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,17.5,290.65
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,23.75,296.9
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,30.0,303.15
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,36.25,309.4
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,42.5,315.65
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,48.75,321.9
HSDyNo2,P00561,L-Homoserine,hom__L,MNXM353,55.0,328.15
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,5.0,278.15
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,11.25,284.4
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,17.5,290.65
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,23.75,296.9
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,30.0,303.15
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,36.25,309.4
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,42.5,315.65
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,48.75,321.9
CYSTLNo1,P06721,L-Cystathionine,cyst__L,MNXM319,55.0,328.15
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,5.0,278.15
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,11.25,284.4
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,17.5,290.65
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,23.75,296.9
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,30.0,303.15
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,36.25,309.4
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,42.5,315.65
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,48.75,321.9
CYSTLNo2,P23256,L-Cystathionine,cyst__L,MNXM319,55.0,328.15
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,5.0,278.15
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,11.25,284.4
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,17.5,290.65
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,23.75,296.9
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,30.0,303.15
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,36.25,309.4
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,42.5,315.65
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,48.75,321.9
ACMAMUTNo1,P27836,Undecaprenyl diphospho N-acetyl-glucosamine,unaga,MNXM1333,55.0,328.15
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,5.0,278.15
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,11.25,284.4
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,17.5,290.65
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,23.75,296.9
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,30.0,303.15
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,36.25,309.4
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,42.5,315.65
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,48.75,321.9
SHSL1No1,P00935,O-Succinyl-L-homoserine,suchms,MNXM820,55.0,328.15
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,5.0,278.15
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,11.25,284.4
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,17.5,290.65
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,23.75,296.9
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,30.0,303.15
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,36.25,309.4
