rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,calvin
DHAD1,,0.05303756047609358,0.0006335861387651853,0.5181148645323798,0.5181148058015639,5.8730815929393636e-08,0.0003282703592448867,DHAD1,
AGPR_TG_reverse,,0.01725859850222561,0.00031873424984896204,0.9828123984747968,0.9828121719837879,2.2649100873773813e-07,0.0003132559003796817,AGPR,
ASPK,,0.05438233827100221,0.00043132470742834883,0.7187287019902877,0.7187288455711304,-1.4358084244062485e-07,0.0003100055090362827,ASPK,
3HAD140,,0.01857921400666405,0.0002695426971954795,1.143115199513461,1.1431144444655912,7.550478695340783e-07,0.00030811815056436763,3HAD140,
EAR180y_TG_forward,,0.008047612069090408,0.0003995866825090566,0.760800746330121,0.7608007456580281,6.720926488172958e-10,0.00030400584600790803,EAR180y_TG_forward,
GLUTRS,,0.011211098693825739,0.000559261525878707,0.5334808309984562,0.5334808310284359,-2.9979617375744106e-11,0.00029835530358800373,GLUTRS,
PRAGSr,,0.02057841670866298,0.0003724858614440052,0.7994465522745934,0.7994477690810097,-1.2168064163100508e-06,0.00029778299094562803,PRAGSr,
KARI_1,,0.018332687493571604,0.0002944570720364581,0.957696165207916,0.9576969927404598,-8.275325438354953e-07,0.00028200065238047687,KARI_1,
AIRCrb_TG_forward,,0.02057841670866298,0.00024550382159427286,1.142263599140815,1.1422691408431351,-5.541702319733568e-06,0.0002804314393661964,AIRCrb_TG_forward,
DHORTS_TG_reverse,,0.019791230500779366,0.0003012234476740261,0.9281361670264682,0.9281361675096151,-4.831468860205777e-10,0.0002795763762882037,DHORTS,
GLUPRT,,0.02057841670866298,0.0003318398060114802,0.8045911132616103,0.8045902593570395,8.539045705725244e-07,0.0002669950755837666,GLUPRT,
PCHR,,0.0013447609147989753,0.00020155777238350936,1.2277291327426436,1.227729190787308,-5.804466435830416e-08,0.0002474583607852984,PCHR,
SULR_syn,,0.00913044711483682,0.00032430188391385784,0.7628726267034576,0.7628726255788955,1.1245620925839192e-09,0.0002474010296615469,SULR_syn,
ATPPRT,,0.005435204926224219,0.0004601288311367746,0.526596450920534,0.5265948555535909,1.5953669432144065e-06,0.00024230147536851243,ATPPRT,
ADSL1r_TG_forward,,0.015971589836515865,0.000494526931293926,0.4775288923709362,0.47752889254154596,-1.7060983947211296e-10,0.00023615089783275768,ADSL1r_TG_forward,
3OAS60,,0.02637418718611945,0.00030180943398905313,0.749407507861975,0.7494078085368007,-3.0067482577740603e-07,0.0002261783465214685,3OAS60,
AGMT,,0.0025392698161030925,0.00016700543906678078,1.272531804290082,1.2725347040156243,-2.8997255425078374e-06,0.00021252021697184525,AGMT,
3HAD180,,0.008047612069090408,0.0001661245435990999,1.2521866432820508,1.2521868033504526,-1.6006840186979873e-07,0.00020801896120740978,3HAD180,
PHETA1_TG_reverse,,0.011722791930103095,0.00042339202221963745,0.4850701331938745,0.4850701349027699,-1.7088954469530334e-09,0.0002053748253348361,PHETA1,
