variant,A_ETC_level,A_ETC_over_Astar,A_ETC_nm2_per_gDW,strain,role,growth_scale,peak_mu_model,peak_mu,peak_T_C,Topt_C,rmax,CTmax_C,CTmin_C,Ea_eV,thermal_limit_C,mu_40C,fit_r2,plateau_1pct_width_C,plateau_0p01pct_width_C
chain_only,1xA*,1.0,2.6236790098379133e+17,cduobushaemulonii_draft,predict,7.670305186259772,0.0737966774464787,0.5660430377464651,36.0,36.0,0.5660430377464651,53.912511365096364,17.174089431285573,1.2652407449166496,53.672607421875,0.5352716819545046,-0.3033291943772123,3.0,0.0
chain_only,1xA*,1.0,2.6236790098379133e+17,cparapsilosis_iDC1003,predict,7.670305186259772,0.05761356115488008,0.44191359692517124,35.0,35.0,0.44191359692517124,51.60661291611576,17.058103033889104,1.2925045156041193,50.8245849609375,0.38249832918783466,0.09560952694305214,2.0,0.0
chain_only,0.7xA*,0.7,1.8365753068865392e+17,cauris_iRV973,calibrate_on,7.670305186259775,0.1041418797039436,0.7988000000000002,38.0,38.0,0.7988000000000002,53.58161416166697,19.263673875947713,1.3051499730391343,53.46923828125,0.7836018748547869,0.2538983491272664,2.5,0.0
chain_only,0.7xA*,0.7,1.8365753068865392e+17,chaemulonii_draft,predict,7.670305186259775,0.089429509981422,0.6859516342151715,39.0,39.0,0.6859516342151715,53.285916586802315,20.54237098120698,1.317564254329062,53.0885009765625,0.6839480597188038,-2.032087694385573,2.5,0.5
chain_only,0.7xA*,0.7,1.8365753068865392e+17,cduobushaemulonii_draft,predict,7.670305186259775,0.07379667744647866,0.566043037746465,36.0,36.0,0.566043037746465,53.912511365096364,17.17408943128537,1.2652407449166152,53.672607421875,0.5352716819545119,-0.3033291943772274,3.0,0.0
chain_only,0.7xA*,0.7,1.8365753068865392e+17,cparapsilosis_iDC1003,predict,7.670305186259775,0.05501277535788975,0.4219647761381657,34.5,34.5,0.4219647761381657,51.01514300255545,17.2079337335164,1.3197308720659742,50.17034912109375,0.36117560836796136,0.07936314572679304,2.0,0.0
chain_only,0.5xA*,0.5,1.3118395049189566e+17,cauris_iRV973,calibrate_on,7.670305186259744,0.10414187970394401,0.7988000000000001,38.0,38.0,0.7988000000000001,53.58161416129078,19.26367387594771,1.3051499730393425,53.46923828125,0.7836018748547838,0.25389834912719167,2.5,0.0
chain_only,0.5xA*,0.5,1.3118395049189566e+17,chaemulonii_draft,predict,7.670305186259744,0.08942950998142195,0.6859516342151682,39.0,39.0,0.6859516342151682,53.285916586802315,20.54237098120698,1.3175642543290627,53.0885009765625,0.6839480597188007,-2.032087694385572,2.5,0.5
chain_only,0.5xA*,0.5,1.3118395049189566e+17,cduobushaemulonii_draft,predict,7.670305186259744,0.0737966774464783,0.56604303774646,36.0,36.0,0.56604303774646,53.91251136509637,17.174089431285317,1.2652407449166228,53.672607421875,0.5352716819545021,-0.3033291943772125,3.0,0.0
chain_only,0.5xA*,0.5,1.3118395049189566e+17,cparapsilosis_iDC1003,predict,7.670305186259744,0.053274283321519636,0.40863001165532303,34.5,34.5,0.40863001165532303,50.60190602559901,17.319793496078834,1.2811027757574869,49.75030517578125,0.3469416517748549,0.061722877226263906,2.0,0.0
chain_only,0.35xA*,0.35,9.182876534432696e+16,cauris_iRV973,calibrate_on,7.670305186259772,0.10414187970394359,0.7987999999999998,38.0,38.0,0.7987999999999998,53.581614160250915,19.2636738759477,1.305149973038873,53.46923828125,0.7836018748547868,0.25389834912740383,2.5,0.0
chain_only,0.35xA*,0.35,9.182876534432696e+16,chaemulonii_draft,predict,7.670305186259772,0.08942950998142198,0.685951634215171,39.0,39.0,0.685951634215171,53.285916578560986,20.542370911572384,1.3175642543290624,53.0885009765625,0.6839480597188036,-2.032087694385574,2.5,0.5
chain_only,0.35xA*,0.35,9.182876534432696e+16,cduobushaemulonii_draft,predict,7.670305186259772,0.07379667744647839,0.5660430377464627,36.0,36.0,0.5660430377464627,53.91251136509637,17.174089431285253,1.2652407449166145,53.672607421875,0.5352716819545037,-0.30332919437721517,3.0,0.0
chain_only,0.35xA*,0.35,9.182876534432696e+16,cparapsilosis_iDC1003,predict,7.670305186259772,0.05195258148765323,0.39849215522432996,34.5,34.5,0.39849215522432996,50.293254418041805,31.525941317317177,1.3405780276362815,49.43865966796875,0.3360273772438282,0.04523832716635057,2.0,0.0
chain_only,0.2xA*,0.2,5.247358019675827e+16,cauris_iRV973,calibrate_on,7.670305186259776,0.10414187970394347,0.7987999999999993,38.0,38.0,0.7987999999999993,53.581614161263374,19.263673875947624,1.3051499730390017,53.46923828125,0.7836018748547879,0.2538983491273197,2.5,0.0
chain_only,0.2xA*,0.2,5.247358019675827e+16,chaemulonii_draft,predict,7.670305186259776,0.08942950998142196,0.6859516342151714,39.0,39.0,0.6859516342151714,53.285916586802315,20.542370771521483,1.3175642543290627,53.0885009765625,0.6839480597188033,-2.0320876943855715,2.5,0.5
