rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,backbone
rxn00789_LSQBKT_c0_RSQBKT_,,0.009819201797536583,0.0001326368987641935,-0.09549405328042246,-0.09549148860374375,-2.5646766787062244e-06,-1.2665694906776897e-05,rxn00789,
rxn05229_LSQBKT_c0_RSQBKT_,,0.024963746577830282,3.7524611073980196e-05,0.3361272032288591,0.3361971277947327,-6.99245658736398e-05,1.2615666464686563e-05,rxn05229,
rxn00726_LSQBKT_c0_RSQBKT_,,0.005847389834488075,1.4153915350867408e-05,0.8704189130422443,0.8704189130495696,-7.325431854186612e-12,1.2319835615097628e-05,rxn00726,
rxn01217_LSQBKT_c0_RSQBKT_,,0.002655907142316092,1.258675442761259e-05,0.9602530877566128,0.9603156279338204,-6.254017720793735e-05,1.2087256981801578e-05,rxn01217,
MptA,,0.0003835954755751059,1.2508582281078873e-05,0.9488327031304908,0.9488329636209201,-2.60490429126602e-07,1.1868555196452196e-05,MptA,
rxn01018_LSQBKT_c0_RSQBKT_,,0.02602465342471477,0.00018345060549540548,-0.06364008894784459,-0.06358440597645952,-5.5682971385092406e-05,-1.1664597776447178e-05,rxn01018,
rxn01636_LSQBKT_c0_RSQBKT_,,0.05416598801934606,4.2132408484274464e-05,0.26724703130880567,0.26724703161724,-3.0843434686178365e-10,1.1259761102307369e-05,rxn01636,
rxn03084_LSQBKT_c0_RSQBKT_,,0.024963746577830282,2.2825820145122577e-05,0.4416381730482985,0.4416605624476577,-2.2389399359349513e-05,1.0081264563623913e-05,rxn03084,
rxn01000_LSQBKT_c0_RSQBKT_,,0.019141927099692098,4.2279498080333155e-05,0.2334979203825913,0.2334997204621193,-1.8000795280386662e-06,9.872250983036501e-06,rxn01000,
rxn00029_LSQBKT_c0_RSQBKT_,,0.003068747379021705,1.5072137016236553e-05,0.6521219255907794,0.6521264156370272,-4.490046247865101e-06,9.828938688388502e-06,rxn00029,
rxn01740_LSQBKT_c0_RSQBKT_,,0.04108956227737967,9.77610372654425e-06,0.9417874682060755,0.9417914600289309,-3.991822855272839e-06,9.20705100201638e-06,rxn01740,
rxn05040_LSQBKT_c0_RSQBKT_,,0.0015343654767212822,8.54155257634659e-06,0.9816576305412997,0.9816632768896516,-5.646348351744972e-06,8.384928491821639e-06,rxn05040,
rxn01637_LSQBKT_c0_RSQBKT_,,0.05416598801934606,1.2678115268727197e-05,0.637300450906891,0.6373005755885929,-1.2468170170528956e-07,8.079770158138371e-06,rxn01637,
rxn00134_LSQBKT_c0_RSQBKT_,,0.002301564640661064,1.5742185965894606e-05,0.5084879863483293,0.5084887081259062,-7.217775768810827e-07,8.004723804875519e-06,rxn00134,
rxn08043_LSQBKT_c0_RSQBKT_,,0.029954081887990758,1.4203534215440072e-05,0.5386685605268767,0.538779212197322,-0.00011065167044537352,7.652568975012512e-06,rxn08043,
rxn02929_LSQBKT_c0_RSQBKT_,,0.03536015928214015,3.530223617875805e-05,0.214887191623073,0.2148881721679054,-9.805448323748508e-07,7.5860330058930184e-06,rxn02929,
rxn05235_LSQBKT_c0_RSQBKT_,,0.003969986027711393,3.329205277013969e-05,0.21507907836963724,0.21507907838496473,-1.5327514937731825e-11,7.160424027345257e-06,rxn05235,
rxn02264_LSQBKT_c0_RSQBKT_,,0.0007671868447554262,1.1337965843960518e-05,0.5992016583746779,0.5992164869752086,-1.482860053096776e-05,6.793896062462927e-06,rxn02264,
rxn02897_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,5.255355939315365e-06,1.2520807086307892,1.2520807229687656,-1.4337976543235197e-08,6.5801298639561786e-06,rxn02897,
MfnB,,0.00038359547557510564,7.376297550543143e-06,0.8526560757034439,0.8526877662228044,-3.169051936029012e-05,6.289678681367376e-06,MfnB,
rxn02834_LSQBKT_c0_RSQBKT_,,0.009819201797536583,3.2216634893167395e-05,0.1912195410285726,0.191205622172757,1.3918855815600585e-05,6.160001719060624e-06,rxn02834,
rxn01406_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,7.645284993973434e-06,0.719985202354665,0.7199876950916615,-2.492736996281491e-06,5.5045111211298e-06,rxn01406,
rxn11751_LSQBKT_c0_RSQBKT_,,0.00038359547557510564,4.272304510166691e-06,1.2647349627250168,1.2647414457910484,-6.4830660314692105e-06,5.4033605830478375e-06,rxn11751,
rxn10566_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,1.2157028761450306e-05,0.42678075197010046,0.4267821487619509,-1.3967918503992469e-06,5.1884028573726e-06,rxn10566,
rxn05195_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,5.929657465042482e-06,0.8222752197400496,0.8222752769721353,-5.723208587555168e-08,4.875810734417697e-06,rxn05195,
rxn06591_LSQBKT_c0_RSQBKT_,,0.00613749475804341,2.2573835611883197e-05,0.2113777795490726,0.2113778928964393,-1.1334736665581728e-07,4.771609806230474e-06,rxn06591,
