line,step_sd,logL
axis:ngam_steepness,0.35000000000000003,2.2676868341836345
axis:ngam_steepness,0.4,2.248937114028525
axis:ngam_steepness,0.45,2.2297695088467835
axis:ngam_steepness,0.5,2.2102046561459034
axis:ngam_steepness,0.55,2.1902680768974396
axis:ngam_steepness,0.6000000000000001,2.1699831728413415
axis:ngam_steepness,0.65,2.149374785765796
axis:ngam_steepness,0.7000000000000001,2.128468415462998
axis:ngam_steepness,0.75,2.1072909483756304
axis:ngam_steepness,0.8,2.0858667198061744
axis:ngam_steepness,0.8500000000000001,2.064225013282277
axis:ngam_steepness,0.9,2.042320080721863
axis:ngam_steepness,0.9500000000000001,2.020215789088743
axis:ngam_steepness,1.0,1.9817111805407401
axis:clearance_mult,-1.0,1.253351009983434
axis:clearance_mult,-0.9500000000000001,1.4532117304675465
axis:clearance_mult,-0.9,1.6579415875331818
axis:clearance_mult,-0.8500000000000001,1.8440497679573076
axis:clearance_mult,-0.8,1.9640141946279686
axis:clearance_mult,-0.75,2.0666935726221016
axis:clearance_mult,-0.7000000000000001,2.148439424099837
axis:clearance_mult,-0.65,2.192820880639678
axis:clearance_mult,-0.6000000000000001,2.2186769268214226
axis:clearance_mult,-0.55,2.2393272194411136
axis:clearance_mult,-0.5,2.2105055623073655
axis:clearance_mult,-0.45,2.2003398423209855
axis:clearance_mult,-0.4,2.242384464703175
axis:clearance_mult,-0.35000000000000003,2.2602641370834027
axis:clearance_mult,-0.30000000000000004,2.2950895775087883
axis:clearance_mult,-0.25,2.3497699336726487
axis:clearance_mult,-0.2,2.368269595154861
axis:clearance_mult,-0.15000000000000002,2.3742137592987973
axis:clearance_mult,-0.1,2.3735970604374996
axis:clearance_mult,-0.05,2.369358673467884
axis:clearance_mult,0.0,2.3643166223999525
axis:clearance_mult,0.05,2.358810386957016
axis:clearance_mult,0.1,2.354068630746106
axis:clearance_mult,0.15000000000000002,2.3433126008466516
axis:clearance_mult,0.2,2.324832482095222
axis:clearance_mult,0.25,2.305573466805793
axis:clearance_mult,0.30000000000000004,2.285804113987048
axis:clearance_mult,0.35000000000000003,2.2640353869078034
axis:clearance_mult,0.4,2.2409091650110726
axis:clearance_mult,0.45,2.2068582516069712
axis:clearance_mult,0.5,-14.507541909327633
axis:clearance_mult,0.55,-14.35680181725726
axis:clearance_mult,0.6000000000000001,-14.16228354990943
axis:clearance_mult,0.65,-13.96354716951037
axis:clearance_mult,0.7000000000000001,2.216712685159826
axis:clearance_mult,0.75,2.1485139717408313
axis:clearance_mult,0.8,-13.379895691368574
axis:clearance_mult,0.8500000000000001,-13.192726277780292
axis:clearance_mult,0.9,-13.01559415124313
axis:clearance_mult,0.9500000000000001,-12.840741616028323
axis:clearance_mult,1.0,-12.666550085270996
axis:resp_scale,-1.0,-12.029406189729361
axis:resp_scale,-0.9500000000000001,-10.844557279045024
axis:resp_scale,-0.9,-9.70867287047417
axis:resp_scale,-0.8500000000000001,-8.621752964016782
axis:resp_scale,-0.8,-7.5837975596728135
axis:resp_scale,-0.75,-6.59480665744235
axis:resp_scale,-0.7000000000000001,-5.654780257325301
axis:resp_scale,-0.65,-4.7637183593217145
axis:resp_scale,-0.6000000000000001,-3.921620963431652
axis:resp_scale,-0.55,-3.1284880696549844
axis:resp_scale,-0.5,-2.3843196779917863
axis:resp_scale,-0.45,-1.6891157884420482
axis:resp_scale,-0.4,-1.0428764010057567
axis:resp_scale,-0.35000000000000003,-0.4456015156829505
axis:resp_scale,-0.30000000000000004,0.10270886752639452
axis:resp_scale,-0.25,0.602054748622308
axis:resp_scale,-0.2,1.0524361276047616
axis:resp_scale,-0.15000000000000002,1.4538530044737352
axis:resp_scale,-0.1,1.806305379229233
axis:resp_scale,-0.05,2.1097932518713227
axis:resp_scale,0.0,2.3643166223999525
axis:resp_scale,0.05,2.5698754908151122
axis:resp_scale,0.1,2.726469857116795
axis:resp_scale,0.15000000000000002,2.834099721305014
axis:resp_scale,0.2,2.8927650833798015
axis:resp_scale,0.25,2.9024659433411197
axis:resp_scale,0.30000000000000004,2.8632023011889784
axis:resp_scale,0.35000000000000003,2.7749741569233533
axis:resp_scale,0.4,2.6377815105443214
axis:resp_scale,0.45,2.4516243620518297
axis:resp_scale,0.5,2.2165027114458655
axis:resp_scale,0.55,1.932416558726426
axis:resp_scale,0.6000000000000001,1.5993659038935302
axis:resp_scale,0.65,1.217350746947178
axis:resp_scale,0.7000000000000001,0.7863710878873631
axis:resp_scale,0.75,0.3064269267140878
axis:resp_scale,0.8,-0.22248173657265236
axis:resp_scale,0.8500000000000001,-0.800354901972836
axis:resp_scale,0.9,-1.427192569486429
axis:resp_scale,0.9500000000000001,-2.1029947391134995
axis:resp_scale,1.0,-2.8277614108540683
axis:disc_resp,-1.0,1.5846943517301777
axis:disc_resp,-0.9500000000000001,1.6602054507093955
axis:disc_resp,-0.9,1.7317984898555254
