rung,experiment,strain,quantity,before,after,abs_change,rel_change
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,descr_CTmin_C,19.265306274932087,19.26530627493197,-1.1723955140041653e-13,6.085527513931507e-15
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,descr_Ea_eV,1.3109097161816208,1.3109097161816576,3.68594044175552e-14,2.8117424077775688e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_22C,0.0977959544234468,0.097795954423448,1.2073675392798577e-15,1.234578205609688e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_24C,0.1720348209703294,0.1720348209703605,3.108624468950438e-14,1.8069739901589912e-13
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_26C,0.2764877720946631,0.2764877720946981,3.502753642692369e-14,1.2668747034111535e-13
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_28C,0.4034265910880817,0.4034265910880734,-8.326672684688674e-15,2.063987071905897e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_30C,0.5345529049043635,0.5345529049043132,-5.029310301551959e-14,9.408442560894417e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_32C,0.6504320291656512,0.6504320291656605,9.2148511043888e-15,1.416727758042489e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_34C,0.7367013515728256,0.7367013515728422,1.6653345369377348e-14,2.260528684225049e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_36C,0.7846964229589931,0.7846964229589174,-7.571721027943568e-14,9.64923606939808e-14
