rxn_id,enzyme_id,group,u_sub_29C,u_opt_39C,u_supra_43.95C
DHNPA2rNo1,P0AC16,default,0.00035883015974971615,0.00022001436945841147,0.00013875435808434575
PYK2No1,P21599,default,1.3824116474258698e-05,1.2539950911770166e-05,0.0
PYK3No1,P21599,default,7.906293460592112e-06,3.1022743381784646e-05,0.0
PYK6No1,P21599,default,8.505438300271893e-07,7.715341444576393e-07,0.0
OPHHXyNo1,P25535,default,2.95232397374329e-07,2.831032458173788e-07,2.2395809597002555e-07
PPM_REVNo1,P0A6K6,default,0.0006692250041305099,0.0,0.0
PTAr_REVNo2,P77218,default,0.0005778572447748364,0.00044665321886405896,4.5691198631506175e-06
PGK_REVNo1,P0A799,default,0.0014659086378529477,0.0012691077529263244,1.440739833949976e-06
RPE_REVNo1,P0AG07,default,0.0,3.3375328760798414e-08,0.0
ALCD2x_REVNo2,P39451,default,0.004281175529175032,0.002152367949431665,0.0
PGAMT_REVNo1,P31120,default,0.0012949237573647862,0.001055527807654186,0.0007621489291625732
GLUR_REVNo1,P22634,default,0.0001514232405540328,0.0001318901831897905,0.0001340961539267227
F6PA_REVNo2,P32669,default,0.0,9.63286029911361e-06,0.0
SDPTA_REVNo2,P50457,default,5.829250411784039e-05,4.844484767584421e-05,0.0
SDPTA_REVNo4,P22256,default,0.0,0.0,3.682392341016254e-05
G3PD2_REVNo1,P0A6S7,default,0.000129056213876703,0.00019989604469318765,0.0001663142612829633
PRPPS_REVNo1,P0A717,default,0.0008998711813060955,0.0,0.0
ASAD_REVNo1,P0A9Q9,default,1.417353015260734e-05,1.1148241543293326e-05,7.90713575695543e-06
TKT2_REVNo2,P33570,default,0.0,9.830478552608758e-07,0.0
SUCOAS_REVNo1,P0A836,default,0.0009509088673298927,0.0,0.014392191490377121
PGM_REVNo1,P62707,default,0.0010525706842832386,0.0007737251864154291,2.559273170458254e-06
TPI_REVNo1,P0A858,default,9.604750369670423e-07,1.3103674709418817e-06,6.164301332784082e-07
ACOAD7f_REVNo1,Q47146,default,0.0006097670587434571,0.0005764786756092092,0.000446739467759822
ACOAD5f_REVNo1,Q47146,default,0.0017002844271290123,0.0016074625558326178,0.0012456956293788626
ACOAD3f_REVNo1,Q47146,default,0.0017002844271290123,0.0016074625558326178,0.0012456956293788626
ACOAD2f_REVNo1,Q47146,default,0.0017002844271290123,0.0016074625558326178,0.0012456956293788626
ACOAD4f_REVNo1,Q47146,default,0.0017002844271290123,0.0016074625558326178,0.0012456956293788626
ACOAD6f_REVNo1,Q47146,default,0.0013284654565296858,0.0012559419141974664,0.0009732863434937872
CTECOAI7_REVNo1,P21177,default,0.000385550542549079,0.0003533151326451568,0.0009419473930448797
